table_name,object_type,table_description,column_name,ordinal_position,data_type,is_nullable,column_default,column_description,sensitivity,is_primary_key,foreign_key_references
capacity,TABLE,"The three capacity figures for a single location: how many people it is designed for, how many it is certified for, and how many it can safely hold today.",id,1,integer,f,nextval('capacity_id_seq'::regclass),Primary key.,NONE,Y,
capacity,TABLE,"The three capacity figures for a single location: how many people it is designed for, how many it is certified for, and how many it can safely hold today.",max_capacity,2,integer,f,0,"The most people the location can hold, including overcrowding.",NONE,N,
capacity,TABLE,"The three capacity figures for a single location: how many people it is designed for, how many it is certified for, and how many it can safely hold today.",working_capacity,3,integer,f,0,"How many people the location can hold today, allowing for anything currently out of use. Zero for a location that cannot currently be used.",NONE,N,
capacity,TABLE,"The three capacity figures for a single location: how many people it is designed for, how many it is certified for, and how many it can safely hold today.",certified_normal_accommodation,4,integer,f,0,"Certified normal accommodation (CNA): the uncrowded capacity of the location, as certified. Published by MoJ in the prison population statistics.",NONE,N,
cell_certificate,TABLE,"A point-in-time certificate recording what a prison was certified to hold, with the full location tree as it stood when the certificate was issued. A new certificate is issued each time an approval changes certified capacity; only one is current per prison.",id,1,uuid,f,,Primary key.,NONE,Y,
cell_certificate,TABLE,"A point-in-time certificate recording what a prison was certified to hold, with the full location tree as it stood when the certificate was issued. A new certificate is issued each time an approval changes certified capacity; only one is current per prison.",prison_id,2,character varying(5),f,,"The prison this certificate covers, as a NOMIS agency code.",NONE,N,
cell_certificate,TABLE,"A point-in-time certificate recording what a prison was certified to hold, with the full location tree as it stood when the certificate was issued. A new certificate is issued each time an approval changes certified capacity; only one is current per prison.",approved_by,3,character varying(100),f,,DPS username of the person who approved the certificate.,STAFF,N,
cell_certificate,TABLE,"A point-in-time certificate recording what a prison was certified to hold, with the full location tree as it stood when the certificate was issued. A new certificate is issued each time an approval changes certified capacity; only one is current per prison.",approved_date,4,timestamp without time zone,f,,When the certificate was approved.,NONE,N,
cell_certificate,TABLE,"A point-in-time certificate recording what a prison was certified to hold, with the full location tree as it stood when the certificate was issued. A new certificate is issued each time an approval changes certified capacity; only one is current per prison.",certification_approval_request_id,5,uuid,t,,The approval request that produced this certificate. Null for certificates created by the initial prison baseline rather than by a request.,NONE,N,certification_approval_request
cell_certificate,TABLE,"A point-in-time certificate recording what a prison was certified to hold, with the full location tree as it stood when the certificate was issued. A new certificate is issued each time an approval changes certified capacity; only one is current per prison.",total_working_capacity,6,integer,f,,Total working capacity across the prison at the point of certification.,NONE,N,
cell_certificate,TABLE,"A point-in-time certificate recording what a prison was certified to hold, with the full location tree as it stood when the certificate was issued. A new certificate is issued each time an approval changes certified capacity; only one is current per prison.",total_max_capacity,7,integer,f,,Total maximum capacity across the prison at the point of certification.,NONE,N,
cell_certificate,TABLE,"A point-in-time certificate recording what a prison was certified to hold, with the full location tree as it stood when the certificate was issued. A new certificate is issued each time an approval changes certified capacity; only one is current per prison.",total_certified_normal_accommodation,8,integer,f,,Total certified normal accommodation across the prison at the point of certification. Published by MoJ in the prison population statistics.,NONE,N,
cell_certificate,TABLE,"A point-in-time certificate recording what a prison was certified to hold, with the full location tree as it stood when the certificate was issued. A new certificate is issued each time an approval changes certified capacity; only one is current per prison.",current,9,boolean,f,true,Whether this is the prison's current certificate. Exactly one row per prison should be true; the rest are superseded and kept for history.,NONE,N,
cell_certificate,TABLE,"A point-in-time certificate recording what a prison was certified to hold, with the full location tree as it stood when the certificate was issued. A new certificate is issued each time an approval changes certified capacity; only one is current per prison.",signed_operation_capacity,10,integer,f,0,The prison's signed operational capacity at the point of certification.,NONE,N,
cell_certificate_location,TABLE,"The location tree as recorded on a cell certificate: a frozen copy taken when the certificate was issued, so the certificate remains an accurate record even after the live locations change.",id,1,uuid,f,,Primary key.,NONE,Y,
cell_certificate_location,TABLE,"The location tree as recorded on a cell certificate: a frozen copy taken when the certificate was issued, so the certificate remains an accurate record even after the live locations change.",cell_certificate_id,2,uuid,t,,The certificate this location belongs to. Deleted with the certificate.,NONE,N,cell_certificate
cell_certificate_location,TABLE,"The location tree as recorded on a cell certificate: a frozen copy taken when the certificate was issued, so the certificate remains an accurate record even after the live locations change.",location_code,3,character varying(40),f,,"The location's own code within its parent, as certified.",NONE,N,
cell_certificate_location,TABLE,"The location tree as recorded on a cell certificate: a frozen copy taken when the certificate was issued, so the certificate remains an accurate record even after the live locations change.",path_hierarchy,4,character varying(255),f,,"Full path of the location within the prison, as certified.",NONE,N,
cell_certificate_location,TABLE,"The location tree as recorded on a cell certificate: a frozen copy taken when the certificate was issued, so the certificate remains an accurate record even after the live locations change.",certified_normal_accommodation,5,integer,t,,"Certified normal accommodation for this location, as certified.",NONE,N,
cell_certificate_location,TABLE,"The location tree as recorded on a cell certificate: a frozen copy taken when the certificate was issued, so the certificate remains an accurate record even after the live locations change.",working_capacity,6,integer,t,,"Working capacity for this location, as certified.",NONE,N,
cell_certificate_location,TABLE,"The location tree as recorded on a cell certificate: a frozen copy taken when the certificate was issued, so the certificate remains an accurate record even after the live locations change.",max_capacity,7,integer,t,,"Maximum capacity for this location, as certified.",NONE,N,
cell_certificate_location,TABLE,"The location tree as recorded on a cell certificate: a frozen copy taken when the certificate was issued, so the certificate remains an accurate record even after the live locations change.",in_cell_sanitation,8,boolean,t,,"Whether the cell had its own toilet and washing facilities, as certified.",NONE,N,
cell_certificate_location,TABLE,"The location tree as recorded on a cell certificate: a frozen copy taken when the certificate was issued, so the certificate remains an accurate record even after the live locations change.",location_type,9,character varying(40),f,,What kind of location this is. See LocationType in reference-data.csv.,NONE,N,
cell_certificate_location,TABLE,"The location tree as recorded on a cell certificate: a frozen copy taken when the certificate was issued, so the certificate remains an accurate record even after the live locations change.",specialist_cell_types,10,character varying(300),t,,"Specialist cell types held against the location, comma separated, as certified.",NONE,N,
cell_certificate_location,TABLE,"The location tree as recorded on a cell certificate: a frozen copy taken when the certificate was issued, so the certificate remains an accurate record even after the live locations change.",cell_mark,11,character varying(12),t,,"The number on the cell door, as certified.",NONE,N,
cell_certificate_location,TABLE,"The location tree as recorded on a cell certificate: a frozen copy taken when the certificate was issued, so the certificate remains an accurate record even after the live locations change.",level,12,integer,f,,"Depth of this location in the certificate's tree, with the top level location at the lowest number.",NONE,N,
cell_certificate_location,TABLE,"The location tree as recorded on a cell certificate: a frozen copy taken when the certificate was issued, so the certificate remains an accurate record even after the live locations change.",local_name,13,character varying(100),t,,"The name the prison used for this location, as certified.",NONE,N,
cell_certificate_location,TABLE,"The location tree as recorded on a cell certificate: a frozen copy taken when the certificate was issued, so the certificate remains an accurate record even after the live locations change.",parent_location_id,14,uuid,t,,"The location above this one within the certificate's own tree, not the live location tree.",NONE,N,cell_certificate_location
cell_certificate_location,TABLE,"The location tree as recorded on a cell certificate: a frozen copy taken when the certificate was issued, so the certificate remains an accurate record even after the live locations change.",converted_cell_type,16,character varying(60),t,,"What a former cell was being used as, as certified.",NONE,N,
cell_certificate_location,TABLE,"The location tree as recorded on a cell certificate: a frozen copy taken when the certificate was issued, so the certificate remains an accurate record even after the live locations change.",used_for_types,17,character varying(300),t,,"What the cell was used for, comma separated, as certified.",NONE,N,
cell_certificate_location,TABLE,"The location tree as recorded on a cell certificate: a frozen copy taken when the certificate was issued, so the certificate remains an accurate record even after the live locations change.",accommodation_types,18,character varying(120),t,,"Accommodation types for the location, comma separated, as certified.",NONE,N,
cell_certificate_location,TABLE,"The location tree as recorded on a cell certificate: a frozen copy taken when the certificate was issued, so the certificate remains an accurate record even after the live locations change.",other_converted_cell_type,19,character varying(255),t,,Free text description used when the certified converted_cell_type was OTHER.,NONE,N,
cell_certificate_upload,TABLE,"One run of the bulk import that seeds or corrects a prison's cell certificate from a spreadsheet, with counts of how the run went.",id,1,uuid,f,,Primary key.,NONE,Y,
cell_certificate_upload,TABLE,"One run of the bulk import that seeds or corrects a prison's cell certificate from a spreadsheet, with counts of how the run went.",prison_id,2,character varying(5),f,,"The prison being imported, as a NOMIS agency code.",NONE,N,
cell_certificate_upload,TABLE,"One run of the bulk import that seeds or corrects a prison's cell certificate from a spreadsheet, with counts of how the run went.",status,3,character varying(20),f,,"Where the run has got to - PENDING, STARTED or FINISHED. See CellCertificateUploadStatus in reference-data.csv.",NONE,N,
